NPC Name,Line Batch ID,Line ID,Dialogue Line,Options Bypass,Option 1,Option 1 Ref,Option 1 Mood Impact,Option 1 Mistake ID,Option 2,Option 2 Ref,Option 2 Mood Impact,Option 2 Mistake ID,Option 3,Option 3 Ref,Option 3 Mood Impact,Option 3 Mistake ID,Option 4,Option 4 Ref,Option 4 Mood Impact,Option 4 Mistake ID
John,0,0,Oh… hey,FALSE,Why are you acting suspicious?,1,-3,1,Hi can I help you find anything?,2,1,-1,Welcome! Would you like a basket?,3,3,2,What is your name?,4,-3,-1
John,0,1,Huh? What are you accusing me of???,TRUE,,3,,,,,,,,,,,,,,
John,0,2,Oh nothing… just looking around haha….,TRUE,,3,,,,,,,,,,,,,,
John,0,3,I think I'll be going now…,FALSE,Goodbye have a nice day!,4,1,-1,Yea get lost!,4,-2,0,Ok,6,0,-1,Thank you for shopping at -Chain name-!,6,2,-1
John,0,4,Goodbye…,TRUE,,-2,,,,,,,,,,,,,,
Jane,0,0,Hi!,TRUE,,1,,,,,,,,,,,,,,
Jane,0,1,Sorry I'm having trouble finding something. Could you help me find the dried pasta?,FALSE,Sure! It's over here in Aisle 3!,2,0,-1,Sorry I'm busy.,3,-1,-1,Are you shoplifting?,4,-5,1,Ok! I'll be with you in a second,5,0,-1
Jane,0,2,Ohh Thank you!,TRUE,,-1,,,,,,,,,,,,,,
Jane,0,3,Oh… I see…,TRUE,,-1,,,,,,,,,,,,,,
Jane,0,4,What??? I'm just shopping…,TRUE,,-1,,,,,,,,,,,,,,
Jane,0,5,Ok! Thank you :),TRUE,,-1,,-1,,,,,,,,,,,,
Lvl1 Shplif,0,0,O-oh! Hi…,FALSE,Why are you acting suspicious?,1,-5,,Hi can I help you find anything?,2,1,-1,,,,,,,,
Lvl1 Shplif,0,1,I'm not suspicious!! I'm just s-shopping here! …like any other customer..!,TRUE,,3,,,,,,,,,,,,,,
Lvl1 Shplif,0,2,Ah… no.. I-I'll get going now..!,TRUE,,-2,,,,,,,,,,,,,,
Lvl1 Shplif,0,3,Ugh..! Whatever! I'm leaving!,TRUE,,-2,,,,,,,,,,,,,,
Lvl2 Shplif,0,0,….Oh….hi..,FALSE,Are you nervous?,1,-3,,Hi! Are you looking for anything specific that I can help you with?,2,2,-1,,,,,,,,
Lvl2 Shplif,0,1,W..what? Why are you asking me that?,FALSE,You're sweating a lot.,2,-7,,"Sorry, I was just asking incase you needed help with anything.",3,3,,,,,,,,,
Lvl2 Shplif,0,2,And..?  Mind your own business..! I'm getting out of here!,TRUE,,-2,,,,,,,,,,,,,,
Lvl2 Shplif,0,3,I wasn't looking for anything… ,TRUE,,4,,,,,,,,,,,,,,
Lvl2 Shplif,0,4,"I'll be going now, but thanks for asking.",TRUE,,-2,,,,,,,,,,,,,,
Lvl3 Shplif,0,0,Hey.,FALSE,"Hey, can I help you with anything?",3,2,-1,What are you up to?,1,-5,,,,,,,,,
Lvl3 Shplif,0,1,I'm not doing anything. Just browsing.,FALSE,Are you sure?,2,-4,,"Oh, well in that case. I'll stay by your side in case you do need my help!",3,1,,,,,,,,,
Lvl3 Shplif,0,2,"Yes, I'm sure. Goodbye.",TRUE,,-2,,,,,,,,,,,,,,
Lvl3 Shplif,0,3,Oh. Sure…,TRUE,,4,,,,,,,,,,,,,,
Lvl3 Shplif,0,4,"You know what? Nevermind, I think I'll be leaving now. Thanks.",TRUE,,-2,,,,,,,,,,,,,,
Lvl4 Shplif,0,0,Ah… Hi.,FALSE,Hi! Do you need any assistance?,3,2,,Why are you walking around so oddly.,1,-5,,,,,,,,,
Lvl4 Shplif,0,1,What do you mean?? I'm walking normally.,FALSE,"No, you're weird. What are you up to?",2,-5,,"Sorry, what I meant to say was, are you looking for anything specific? I noticed you were looking around for quite long.",3,2,,,,,,,,,
Lvl4 Shplif,0,2,"I'm not up to anything! Ugh, whatever. You just lost yourself a valuable customer!",TRUE,,-2,,,,,,,,,,,,,,
Lvl4 Shplif,0,3,"No, I don't need any. Don't worry about it.",FALSE,Are you sure?,4,-5,,"No no, I insist. Allow me to assist you.",5,2,,,,,,,,,
Lvl4 Shplif,0,4,"Yes, I'm sure. Goodbye.",TRUE,,-2,,,,,,,,,,,,,,
Lvl4 Shplif,0,5,"Ah… hm. Nevermind, I think I'm done shopping now. Goodbye.",FALSE,,-2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
